=== UALBF Engine Trace Log: Run Started at Fri Mar 20 22:12:17 2026 ===
   Compiling ualbf_engine v0.1.0 (/Volumes/ExternalSSD/code/quasipolynomials/ualbf-project/rust-engine)
    Finished `release` profile [optimized] target(s) in 1.95s
     Running `target/release/ualbf_engine`
=== UALBF Engine Initializing ===
Target Bound: N > 10^50
PROGRESS|PHASE|1|Legendre-Cattaneo Sieve
PROGRESS|UPDATE|142000|2559484|Processed 142000 prefixes...
PROGRESS|UPDATE|143000|2580315|Processed 143000 prefixes...
PROGRESS|UPDATE|144000|2600817|Processed 144000 prefixes...
PROGRESS|UPDATE|145000|2620235|Processed 145000 prefixes...
PROGRESS|UPDATE|146000|2638459|Processed 146000 prefixes...
PROGRESS|UPDATE|147000|2654722|Processed 147000 prefixes...
PROGRESS|UPDATE|148000|2672862|Processed 148000 prefixes...
PROGRESS|UPDATE|149000|2693912|Processed 149000 prefixes...
PROGRESS|UPDATE|150000|2714470|Processed 150000 prefixes...
PROGRESS|UPDATE|151000|2730902|Processed 151000 prefixes...
PROGRESS|UPDATE|152000|2749137|Processed 152000 prefixes...
PROGRESS|UPDATE|153000|2766209|Processed 153000 prefixes...
PROGRESS|UPDATE|154000|2779987|Processed 154000 prefixes...
PROGRESS|UPDATE|155000|2795330|Processed 155000 prefixes...
PROGRESS|UPDATE|156000|2810366|Processed 156000 prefixes...
PROGRESS|UPDATE|157000|2827998|Processed 157000 prefixes...
PROGRESS|UPDATE|158000|2846465|Processed 158000 prefixes...
PROGRESS|UPDATE|159000|2862739|Processed 159000 prefixes...
PROGRESS|UPDATE|160000|2878969|Processed 160000 prefixes...
PROGRESS|UPDATE|161000|2893105|Processed 161000 prefixes...
PROGRESS|UPDATE|162000|2906930|Processed 162000 prefixes...
PROGRESS|UPDATE|163000|2925186|Processed 163000 prefixes...
PROGRESS|UPDATE|164000|2944421|Processed 164000 prefixes...
PROGRESS|UPDATE|165000|2961688|Processed 165000 prefixes...
PROGRESS|UPDATE|166000|2979299|Processed 166000 prefixes...
PROGRESS|UPDATE|167000|2997949|Processed 167000 prefixes...
PROGRESS|UPDATE|168000|3015578|Processed 168000 prefixes...
PROGRESS|UPDATE|169000|3034659|Processed 169000 prefixes...
PROGRESS|UPDATE|170000|3053919|Processed 170000 prefixes...
PROGRESS|UPDATE|171000|3072132|Processed 171000 prefixes...
PROGRESS|UPDATE|172000|3090081|Processed 172000 prefixes...
PROGRESS|UPDATE|173000|3110139|Processed 173000 prefixes...
PROGRESS|UPDATE|174000|3130500|Processed 174000 prefixes...
PROGRESS|UPDATE|175000|3147774|Processed 175000 prefixes...
PROGRESS|UPDATE|176000|3164894|Processed 176000 prefixes...
PROGRESS|UPDATE|177000|3188586|Processed 177000 prefixes...
PROGRESS|UPDATE|178000|3207785|Processed 178000 prefixes...
PROGRESS|UPDATE|179000|3225423|Processed 179000 prefixes...
PROGRESS|UPDATE|180000|3244359|Processed 180000 prefixes...
PROGRESS|UPDATE|181000|3264523|Processed 181000 prefixes...
PROGRESS|UPDATE|182000|3284910|Processed 182000 prefixes...
PROGRESS|UPDATE|183000|3302782|Processed 183000 prefixes...
PROGRESS|UPDATE|184000|3322529|Processed 184000 prefixes...
PROGRESS|UPDATE|185000|3339893|Processed 185000 prefixes...
PROGRESS|UPDATE|186000|3357193|Processed 186000 prefixes...
PROGRESS|UPDATE|187000|3375278|Processed 187000 prefixes...
PROGRESS|UPDATE|188000|3396474|Processed 188000 prefixes...
PROGRESS|UPDATE|189000|3416378|Processed 189000 prefixes...
PROGRESS|UPDATE|190000|3436522|Processed 190000 prefixes...
PROGRESS|UPDATE|191000|3458551|Processed 191000 prefixes...
PROGRESS|UPDATE|192000|3477663|Processed 192000 prefixes...
PROGRESS|UPDATE|193000|3495110|Processed 193000 prefixes...
PROGRESS|UPDATE|194000|3513826|Processed 194000 prefixes...
PROGRESS|UPDATE|195000|3530453|Processed 195000 prefixes...
PROGRESS|UPDATE|196000|3545961|Processed 196000 prefixes...
PROGRESS|UPDATE|197000|3561146|Processed 197000 prefixes...
PROGRESS|UPDATE|198000|3581023|Processed 198000 prefixes...
PROGRESS|UPDATE|199000|3597319|Processed 199000 prefixes...
PROGRESS|UPDATE|200000|3614368|Processed 200000 prefixes...
PROGRESS|UPDATE|201000|3635580|Processed 201000 prefixes...
PROGRESS|UPDATE|202000|3656461|Processed 202000 prefixes...
PROGRESS|UPDATE|203000|3678774|Processed 203000 prefixes...
PROGRESS|UPDATE|204000|3700018|Processed 204000 prefixes...
PROGRESS|UPDATE|205000|3720260|Processed 205000 prefixes...
PROGRESS|UPDATE|206000|3747285|Processed 206000 prefixes...
PROGRESS|UPDATE|207000|3770442|Processed 207000 prefixes...
PROGRESS|UPDATE|208000|3795892|Processed 208000 prefixes...
PROGRESS|UPDATE|209000|3819736|Processed 209000 prefixes...
PROGRESS|UPDATE|210000|3839620|Processed 210000 prefixes...
PROGRESS|UPDATE|211000|3860792|Processed 211000 prefixes...
PROGRESS|UPDATE|212000|3881478|Processed 212000 prefixes...
PROGRESS|UPDATE|213000|3901207|Processed 213000 prefixes...
PROGRESS|UPDATE|214000|3919842|Processed 214000 prefixes...
PROGRESS|UPDATE|215000|3942395|Processed 215000 prefixes...
PROGRESS|UPDATE|216000|3963535|Processed 216000 prefixes...
PROGRESS|UPDATE|217000|3984157|Processed 217000 prefixes...
PROGRESS|UPDATE|218000|4001733|Processed 218000 prefixes...
PROGRESS|UPDATE|219000|4020352|Processed 219000 prefixes...
PROGRESS|UPDATE|220000|4038528|Processed 220000 prefixes...
PROGRESS|UPDATE|221000|4060226|Processed 221000 prefixes...
PROGRESS|UPDATE|222000|4081693|Processed 222000 prefixes...
PROGRESS|UPDATE|223000|4103209|Processed 223000 prefixes...
PROGRESS|UPDATE|224000|4123935|Processed 224000 prefixes...
PROGRESS|UPDATE|225000|4143291|Processed 225000 prefixes...
PROGRESS|UPDATE|226000|4163735|Processed 226000 prefixes...
PROGRESS|UPDATE|227000|4184907|Processed 227000 prefixes...
PROGRESS|UPDATE|228000|4206805|Processed 228000 prefixes...
PROGRESS|UPDATE|229000|4226317|Processed 229000 prefixes...
PROGRESS|UPDATE|230000|4243996|Processed 230000 prefixes...
PROGRESS|UPDATE|231000|4260825|Processed 231000 prefixes...
PROGRESS|UPDATE|232000|4280118|Processed 232000 prefixes...
PROGRESS|UPDATE|233000|4298554|Processed 233000 prefixes...
PROGRESS|UPDATE|234000|4319483|Processed 234000 prefixes...
PROGRESS|UPDATE|235000|4334482|Processed 235000 prefixes...
PROGRESS|UPDATE|236000|4353703|Processed 236000 prefixes...
PROGRESS|UPDATE|237000|4373602|Processed 237000 prefixes...
PROGRESS|UPDATE|238000|4393755|Processed 238000 prefixes...
PROGRESS|UPDATE|239000|4410460|Processed 239000 prefixes...
